node1	node2
hsa-miR-4786-3p	ENSG00000002079
hsa-miR-135a-5p	ENSG00000004866
hsa-miR-485-3p	ENSG00000004866
hsa-miR-24-3p	ENSG00000067601
hsa-miR-139-5p	ENSG00000073905
hsa-miR-27a-3p	ENSG00000073905
hsa-miR-1179	ENSG00000073905
hsa-miR-484	ENSG00000073905
hsa-miR-27b-3p	ENSG00000073905
hsa-miR-550a-3p	ENSG00000073905
hsa-miR-301a-3p	ENSG00000078319
hsa-miR-148a-3p	ENSG00000078319
hsa-miR-130a-3p	ENSG00000078319
hsa-miR-193b-3p	ENSG00000078319
hsa-miR-151a-3p	ENSG00000078319
hsa-miR-4691-3p	ENSG00000080947
hsa-miR-5682	ENSG00000080947
hsa-miR-196a-5p	ENSG00000080947
hsa-miR-338-3p	ENSG00000080947
hsa-miR-3194-3p	ENSG00000080947
hsa-miR-146a-3p	ENSG00000080947
hsa-miR-3605-3p	ENSG00000080947
hsa-miR-361-3p	ENSG00000080947
hsa-miR-520a-5p	ENSG00000080947
hsa-miR-93-3p	ENSG00000080947
hsa-miR-877-3p	ENSG00000080947
hsa-miR-2114-5p	ENSG00000080947
hsa-miR-493-3p	ENSG00000080947
hsa-miR-196b-5p	ENSG00000080947
hsa-miR-137-3p	ENSG00000080947
hsa-miR-124-3p	ENSG00000080947
hsa-miR-17-3p	ENSG00000080947
hsa-miR-766-3p	ENSG00000080947
hsa-miR-29b-1-5p	ENSG00000080947
hsa-miR-4254	ENSG00000080947
hsa-miR-204-5p	ENSG00000080947
hsa-miR-181c-5p	ENSG00000088340
hsa-miR-34a-5p	ENSG00000088340
hsa-miR-181a-5p	ENSG00000088340
hsa-miR-181b-5p	ENSG00000088340
hsa-miR-185-3p	ENSG00000093100
hsa-miR-151b	ENSG00000093100
hsa-miR-490-5p	ENSG00000093100
hsa-miR-9-5p	ENSG00000093100
hsa-miR-3194-3p	ENSG00000093100
hsa-miR-20a-3p	ENSG00000093100
hsa-miR-488-3p	ENSG00000093100
hsa-miR-525-3p	ENSG00000093100
hsa-miR-378c	ENSG00000093100
hsa-miR-378d	ENSG00000093100
hsa-miR-497-5p	ENSG00000093100
hsa-miR-30c-2-3p	ENSG00000093100
hsa-miR-217-5p	ENSG00000093100
hsa-miR-4733-5p	ENSG00000093100
hsa-miR-324-5p	ENSG00000093100
hsa-miR-200a-5p	ENSG00000093100
hsa-let-7d-5p	ENSG00000093100
hsa-miR-422a	ENSG00000093100
hsa-miR-377-5p	ENSG00000093100
hsa-miR-3065-3p	ENSG00000093100
hsa-miR-301a-5p	ENSG00000093100
hsa-miR-4691-3p	ENSG00000093100
hsa-miR-296-5p	ENSG00000093100
hsa-miR-151a-5p	ENSG00000093100
hsa-miR-17-3p	ENSG00000093100
